High,Low,Open,Volume,"_time",stock
"125.4952","122.22","123.2",2617865,"1637712000.000000",BCUP
"117.94","116.04","116.79",4914995,"1637625600.000000",PWNY
"181.25","168.08","170.61",6194306,"1637625600.000000",NAY
"128.69","124.61","127.62",2497482,"1637625600.000000",BCUP
"118.81","115.19",116,6417218,"1637539200.000000",PWNY
193,"178.2",193,4305148,"1637539200.000000",NAY
"132.75","126.89","132.26",2894602,"1637539200.000000",BCUP
"116.56","115.27","116.49",5384548,"1637280000.000000",PWNY
"197.87",192,"197.696",2446622,"1637280000.000000",NAY
"138.12","132.35","138.12",2626379,"1637280000.000000",BCUP
"118.36","116.31","118.36",5047879,"1637193600.000000",PWNY
"195.05","188.01","191.39",2213090,"1637193600.000000",NAY
"139.99","135.9","139.33",2099022,"1637193600.000000",BCUP
"119.33","117.78","118.38",4043289,"1637107200.000000",PWNY
"199.675","189.53","193.75",2943238,"1637107200.000000",NAY
"143.6","139.25","141.96",2221439,"1637107200.000000",BCUP
"119.9","118.42","118.92",4750760,"1637020800.000000",PWNY
"193.6","186.33","188.148",3230803,"1637020800.000000",NAY
"141.96","138.22","140.34",5652040,"1637020800.000000",BCUP
"120.16","118.31","119.54",5046321,"1636934400.000000",PWNY
"194.669","186.32","194.585",2476309,"1636934400.000000",NAY
"152.98","135.01","152.54",12811120,"1636934400.000000",BCUP
"120.64","118.78",120,5418279,"1636675200.000000",PWNY
"194.21","189.6","190.79",1830108,"1636675200.000000",NAY
"168.095","164.56","164.76",940165,"1636675200.000000",BCUP
"121.7894","120.08","120.9",4643257,"1636588800.000000",PWNY
"196.49","189.66","191.05",2425209,"1636588800.000000",NAY
"166.505","163.33","165.05",1141652,"1636588800.000000",BCUP
"122.43","119.932",121,6268961,"1636502400.000000",PWNY
"196.51","184.82",194,3662189,"1636502400.000000",NAY
"176.66","164.41",172,1812711,"1636502400.000000",BCUP
"122.9","120.26","122.56",7236608,"1636416000.000000",PWNY
"197.69","190.72","195.603",3764147,"1636416000.000000",NAY
"174.92","168.565","169.1",1791451,"1636416000.000000",BCUP
"124.78","123.53","123.985",5625275,"1636329600.000000",PWNY
"194.35","184.88","186.286",4420702,"1636329600.000000",NAY
"168.78","165.35","166.94",834835,"1636329600.000000",BCUP
"123.77","121.43","121.43",6790478,"1636070400.000000",PWNY
194,"177.48","193.89",8999929,"1636070400.000000",NAY
"168.61","163.83","167.29",870350,"1636070400.000000",BCUP
"123.34","119.9","123.05",7208736,"1635984000.000000",PWNY
"168.19","161.55",163,3007837,"1635984000.000000",NAY
"168.6","165.64","166.31",866203,"1635984000.000000",BCUP
"123.2049","121.6465","122.1789",5421406,"1635897600.000000",PWNY
"164.98","161.5","164.5",2002877,"1635897600.000000",NAY
"166.555","163.5303",165,1332349,"1635897600.000000",BCUP
"123.0887","120.9013","122.2466",4514438,"1635811200.000000",PWNY
"166.44","160.65","166.03",1869723,"1635811200.000000",NAY
166,"164.02",166,926344,"1635811200.000000",BCUP
"122.2563","119.8632","121.0368",5905521,"1635724800.000000",PWNY
"169.19","162.22","167.46",2903876,"1635724800.000000",NAY
"166.79","164.4","164.85",1038329,"1635724800.000000",BCUP
"122.266","120.9013","121.4046",5916789,"1635465600.000000",PWNY
"168.73","161.38","161.92",2731516,"1635465600.000000",NAY
"166.48","162.62","163.69",1229186,"1635465600.000000",BCUP
"122.2563","120.6206","121.1529",6503003,"1635379200.000000",PWNY
"161.19","154.36","156.175",1836447,"1635379200.000000",NAY
"165.65","162.01","162.69",1053876,"1635379200.000000",BCUP
"123.7759","120.998","123.3501",6973432,"1635292800.000000",PWNY
"164.17","155.5",163,3922803,"1635292800.000000",NAY
"168.59","163.24","167.3",1013858,"1635292800.000000",BCUP
"124.1825","122.687","123.4275",8520872,"1635206400.000000",PWNY
"165.34","159.42","164.58",1937034,"1635206400.000000",NAY
"170.56","166.52",169,971093,"1635206400.000000",BCUP
"124.5212","122.8661","123.4372",6374038,"1635120000.000000",PWNY
"164.155","160.58","161.98",2206441,"1635120000.000000",NAY
"169.725","165.57","166.38",862379,"1635120000.000000",BCUP
"126.0699","122.5477","123.9405",11582200,"1634860800.000000",PWNY
"162.93","158.61","160.94",1602281,"1634860800.000000",NAY
"169.6","166.665","167.46",1156700,"1634860800.000000",BCUP
"129.4285","123.9889","129.2253",31466530,"1634774400.000000",PWNY
"162.36","158.735","159.45",1328011,"1634774400.000000",NAY
"169.8561","166.65",167,1155399,"1634774400.000000",BCUP
"137.6364","136.1845","137.133",6189255,"1634688000.000000",PWNY
"159.86","154.75","159.43",2322434,"1634688000.000000",NAY
"168.06","165.14","165.75",1313028,"1634688000.000000",BCUP
"138.3526","136.0104","136.5523",4339548,"1634601600.000000",PWNY
"160.44","156.01",158,3479750,"1634601600.000000",NAY
"168.6899","163.67","163.93",1770867,"1634601600.000000",BCUP
"140.2884","137.2095","139.3786",6154055,"1634515200.000000",PWNY
"159.125","154.5","154.95",1727670,"1634515200.000000",NAY
"165.255","161.78","163.97",1474285,"1634515200.000000",BCUP
"140.2013","138.2074","138.7882",3222778,"1634256000.000000",PWNY
"156.16","151.24","153.72",2062253,"1634256000.000000",NAY
"165.59","163.23",164,1319807,"1634256000.000000",BCUP
"139.3012","136.4846","136.5136",4217305,"1634169600.000000",PWNY
"159.9241","152.65","157.5",3927308,"1634169600.000000",NAY
"167.315","162.08","162.19",1852528,"1634169600.000000",BCUP
"136.8717","135.1779","136.0103",2880747,"1634083200.000000",PWNY
"156.8","146.36","146.86",5676765,"1634083200.000000",NAY
"161.79","156.97","156.99",2338623,"1634083200.000000",BCUP
"137.7332","135.7973","137.646",3148559,"1633996800.000000",PWNY
"147.25","141.55","143.99",2046969,"1633996800.000000",NAY
"156.11","151.85","152.25",1528422,"1633996800.000000",BCUP
"139.456","137.8299","138.8946",2793298,"1633910400.000000",PWNY
"144.18","138.3899","139.005",1282388,"1633910400.000000",NAY
"153.19","148.451","148.715",1377228,"1633910400.000000",BCUP
"139.0398","136.5233","137.2589",3731279,"1633651200.000000",PWNY
"143.91","140.1","143.18",1360859,"1633651200.000000",NAY
"153.85","149.95","150.875",1203004,"1633651200.000000",BCUP
"138.793","136.9879","138.1494",3823803,"1633564800.000000",PWNY
"146.05","142.07","143.56",1911910,"1633564800.000000",NAY
"151.445","147.37","147.81",1509772,"1633564800.000000",BCUP
"138.7688","136.3684","137.9074",5328433,"1633478400.000000",PWNY
"146.1464","140.2126","140.87",2147406,"1633478400.000000",NAY
"146.48","139.92","141.17",1273554,"1633478400.000000",BCUP
"140.3465","138.0622","140.1045",6976648,"1633392000.000000",PWNY
"142.565","137.2","137.23",1643603,"1633392000.000000",NAY
"142.77","140.2","140.51",1132279,"1633392000.000000",BCUP
"141.3144","137.7816","138.159",7351128,"1633305600.000000",PWNY
"143.59","134.63","143.59",2695800,"1633305600.000000",NAY
"143.98","137.69","143.793",1767126,"1633305600.000000",BCUP
"139.3496","135.8651","136.4749",6604064,"1633046400.000000",PWNY
"145.3","140.885","142.02",2802848,"1633046400.000000",NAY
"146.73","143.02","145.45",1425521,"1633046400.000000",BCUP
"136.0587","134.0551","135.507",5824431,"1632960000.000000",PWNY
"142.73","138.82","138.98",2230892,"1632960000.000000",NAY
"145.64","138.2","138.28",2134487,"1632960000.000000",BCUP
"135.4392","132.0612","133.3098",3774236,"1632873600.000000",PWNY
"140.47","136.55","138.82",1812513,"1632873600.000000",NAY
"141.75","136.83","140.76",1558046,"1632873600.000000",BCUP
"135.205","132.8065","134.7036",4314595,"1632787200.000000",PWNY
"139.8866","135.39","138.86",3040719,"1632787200.000000",NAY
"146.6657","139.41","145.61",2341548,"1632787200.000000",BCUP
"134.602","133.0678","133.5324",3306865,"1632700800.000000",PWNY
"145.98","139.93","145.57",2687272,"1632700800.000000",NAY
"150.41","147.61","149.59",1323220,"1632700800.000000",BCUP
"134.0357","132.3613","132.6323",2964397,"1632441600.000000",PWNY
"147.94","143.59","146.3",1792939,"1632441600.000000",NAY
"152.06","149.18","152.06",1021107,"1632441600.000000",BCUP
"133.0098","130.6965","130.9094",3013238,"1632355200.000000",PWNY
"150.67","146.36","150.67",2253378,"1632355200.000000",NAY
"153.29","150.43","150.79",968398,"1632355200.000000",BCUP
"131.0256","129.1865","129.4285",3602416,"1632268800.000000",PWNY
"149.57","145.46","145.83",2894670,"1632268800.000000",NAY
"150.51","147.32","148.81",1068736,"1632268800.000000",BCUP
"131.2966","128.6735","130.7739",4074528,"1632182400.000000",PWNY
"146.2515","142.11","143.32",3325310,"1632182400.000000",NAY
"149.63","146.73",147,1112049,"1632182400.000000",BCUP
"130.8417","128.5187","129.6027",4770651,"1632096000.000000",PWNY
"143.34","137.59","138.6",2447025,"1632096000.000000",NAY
"150.16","144.9","149.08",1597314,"1632096000.000000",BCUP
"131.5578","130.7158","131.3934",5633480,"1631836800.000000",PWNY
"145.86","141.91","144.93",3391425,"1631836800.000000",NAY
"153.54","150.2","153.41",2849869,"1631836800.000000",BCUP
"133.5228","131.3546","132.8743",2643975,"1631750400.000000",PWNY
"144.63","138.87","139.19",2799124,"1631750400.000000",NAY
"153.7","150.77","151.02",1303914,"1631750400.000000",BCUP
"133.3776","131.3159","131.8483",3254122,"1631664000.000000",PWNY
"139.21","136.8708","137.49",1775934,"1631664000.000000",NAY
"152.35","149.85","150.17",1124659,"1631664000.000000",BCUP
"134.1229","130.9965","133.9583",4454291,"1631577600.000000",PWNY
"138.5705","134.5","135.72",2423675,"1631577600.000000",NAY
"152.82","149.66","150.92",1247783,"1631577600.000000",BCUP
"134.5294","133.0969","133.9583",4144345,"1631491200.000000",PWNY
"138.22","131.39","137.28",3218330,"1631491200.000000",NAY
"153.74","149.44","153.74",1521390,"1631491200.000000",BCUP
"134.8971","132.6032","134.3648",3975115,"1631232000.000000",PWNY
"142.79","136.87","141.74",2653050,"1631232000.000000",NAY
"156.94","153.61","155.86",1018770,"1631232000.000000",BCUP
"134.5003","133.1404","133.426",3508363,"1631145600.000000",PWNY
"143.12","139.15",140,3502542,"1631145600.000000",NAY
"157.11","154.102","154.29",923857,"1631145600.000000",BCUP
"134.6262","133.184","133.7067",2985409,"1631059200.000000",PWNY
"141.14","133.03","136.03",4792394,"1631059200.000000",NAY
"157.76","154.48","157.014",989077,"1631059200.000000",BCUP
"135.3037","133.3402","135.1682",3285363,"1630972800.000000",PWNY
"138.8339","135.76","138.18",2533612,"1630972800.000000",NAY
"158.44","155.5",158,1323595,"1630972800.000000",BCUP
"135.9619","134.8294","135.1972",1924215,"1630627200.000000",PWNY
"139.53","136.42","137.22",1937202,"1630627200.000000",NAY
"159.9","157.1066","157.2",1359279,"1630627200.000000",BCUP
"135.5554","134.5681","135.236",2715659,"1630540800.000000",PWNY
"137.355","135.181","136.63",2009965,"1630540800.000000",NAY
"159.265","155.12","156.44",1759988,"1630540800.000000",BCUP
"135.5746","134.723","135.4876",2474544,"1630454400.000000",PWNY
"139.68","135.71","138.08",2945001,"1630454400.000000",NAY
"157.43","153.16","153.16",1953668,"1630454400.000000",BCUP
"136.4168","134.4907","135.0617",4235101,"1630368000.000000",PWNY
"138.12","134.73","136.99",2120017,"1630368000.000000",NAY
"154.68","152.28",154,1741729,"1630368000.000000",BCUP
"135.3908","134.36","135.023",1995526,"1630281600.000000",PWNY
"138.47","134.2101","135.61",2020147,"1630281600.000000",NAY
"157.17","153.71","154.99",2004012,"1630281600.000000",BCUP
"135.1053","133.9583","134.2584",2459643,"1630022400.000000",PWNY
"136.65","131.6","131.865",2071653,"1630022400.000000",NAY
